authors,year,host_tax_broad,host_tax_fine,symbiont_tax_broad,symbiont_tax_fine,symbiont_euk,symbiosis,endo_or_ecto,mode_of_transmission_broad,mode_of_transmission_fine,Visiting_symbiont?,host_tips_linked,host_tips_linked_corrected,host_genera,total_host_symbioint_links,host_range_link_ratio,host_range_taxonomic_breadth,symbiont_tips_linked,symbiont_genera,no_randomizations,p_value,method
Jesovnik_et_al_2017,2017,Invert,Invert,Microbe,Fungus,y,Mutualist,Ecto,both,environmental,resident,32,6,1,6,1,1,6,1,999,0.029,Parafit
Jousselin_et_al_2008,2008,Plant,Plant,Invert,Invert,y,Mutualist,Endo,horizontal,autonomous,resident,15,15,1,15,1.07,1.07,14,6,9999,0.003,Parafit
Jousselin_et_al_2008,2008,Plant,Plant,Invert,Invert,y,Parasite,Endo,horizontal,autonomous,resident,13,13,1,13,1,1,13,1,9999,0.02,Parafit
Jousselin_et_al_2008,2008,Plant,Plant,Invert,Invert,y,Parasite,Endo,horizontal,autonomous,resident,16,16,1,18,1.06,1.06,17,2,9999,0.001,Parafit
Jousselin_et_al_2008,2008,Plant,Plant,Invert,Invert,y,Parasite,Endo,horizontal,autonomous,resident,13,13,1,14,1,1,14,1,9999,0.003,Parafit
Jousselin_et_al_2009,2009,Invert,Invert,Microbe,Bacterium,n,Mutualist,Endo,vertical,vertical,resident,55,22,1,22,1,1,22,1,9999,0.001,Parafit
Kaltenpoth_et_al_2014,2014,Invert,Invert,Microbe,Bacterium,n,Mutualist,Endo,vertical,vertical,resident,39,39,2,41,1,1,41,1,1000,0.001,Parafit
Kawakita_&_Kato_2009,2009,Plant,Plant,Invert,Invert,y,Mutualist,Ecto,horizontal,autonomous,visitor,10,10,7,10,1,1,10,1,100,0.39,Parafit
Kawakita_et_al_2004,2004,Plant,Plant,Invert,Invert,y,Mutualist,Ecto,horizontal,autonomous,visitor,18,18,1,18,1,1,18,1,999,0.005,Parafit
Kawazoe_et_al_2008,2008,Invert,Invert,Invert,Invert,y,Mutualist,Ecto,vertical,vertical,resident,4,4,1,5,1.25,1.25,4,1,9999,0.0001,Parafit
Kolsch_&__Pedersen_2010,2010,Invert,Invert,Microbe,Bacterium,n,Mutualist,Endo,vertical,vertical,resident,41,41,7,41,1,1,41,1,9999,0.001,Parafit
Krasnov_&_Shenbrot_2013,2013,Vert,Tetrapod,Invert,Invert,y,Parasite,Ecto,horizontal,contact,resident,21,21,8,62,3.26,4.37,19,7,999,0.16,Parafit
Krumbholz_et_al_2009,2009,Vert,Vert,Microbe,Virus,n,Parasite,Endo,horizontal,NA,resident,13,13,13,18,1,1,18,1,999999,0.4946,Parafit
Ku_&_Hu_2014,2014,Plant,Plant,Microbe,Bacterium,n,Mutualist,Endo,vertical,vertical,resident,11,11,1,11,1,1,11,1,9999,0.02,Parafit
Lanterbecq_et_al_2010,2010,Invert,Invert,Invert,Invert,y,Parasite,Endo/Ecto,horizontal,contact,resident,16,16,12,16,1,1,16,5,1000,0.013,Parafit
Latinne_et_al_2018,2018,Vert,Tetrapod,Microbe,Fungus,y,Parasite,Endo,horizontal,enviromental,resident,15,15,6,19,3.17,2,6,1,999,0.009,Parafit
Lauber_et_al_2017,2017,Vert,Vert,Microbe,Virus,n,Parasite,Endo,horizontal,autonomous,resident,30,30,28,30,0.88,1,34,8,10000,0.0001,Parafit
Lauron_et_al_2015,2015,Vert,Tetrapod,Microbe,Protist,y,Parasite,Endo,horizontal,vector,resident,18,18,8,83,1.8,NA,46,1,1000,0.66,Parafit
Lei_&_Olival_2014,2014,Vert,Tetrapod,Microbe,Bacterium,n,Parasite,Endo,horizontal,environmental,resident,14,14,11,38,1,1,38,1,999,0.001,Parafit
Lei_&_Olival_2014,2014,Vert,Tetrapod,Microbe,Bacterium,n,Parasite,Endo,horizontal,environmental,resident,4,4,4,20,1,1,20,1,999,0.001,Parafit
Lei_&_Olival_2014,2014,Vert,Tetrapod,Microbe,Bacterium,n,Parasite,Endo,horizontal,environmental,resident,14,14,12,19,1,1,19,1,999,0.858,Parafit
Lei_&_Olival_2014,2014,Vert,Tetrapod,Microbe,Bacterium,n,Parasite,Endo,horizontal,environmental,resident,9,9,8,13,1,1,13,1,999,0.029,Parafit
Lei_&_Olival_2014,2014,Vert,Tetrapod,Microbe,Bacterium,n,Parasite,Endo,horizontal,environmental,resident,35,35,22,119,1.09,1.17,109,1,999,0.0001,Parafit
Lei_&_Olival_2014,2014,Vert,Tetrapod,Microbe,Bacterium,n,Parasite,Endo,horizontal,environmental,resident,6,6,5,7,1,1,7,1,999,0.7587,Parafit
LewisRogers_&_Crandall_2009,2009,Vert,Tetrapod,Microbe,Virus,n,Parasite,Endo,horizontal,contact,resident,6,6,NA,27,1,1,27,11,999,0.47,Parafit
Li_et_al_2017,2017,Plant,Plant,Microbe,Fungus,y,Parasite,Endo,horizontal,vector,Resident,12,12,9,12,1.71,2,7,1,999,0.50505,Parafit
Li_et_al_2017,2017,Plant,Plant,Microbe,Fungus,y,Parasite,Endo,horizontal,autonomous,resident,12,12,9,12,1.71,1.57,7,1,999,0.50505,Parafit
Li_et_al_2018,2018,Vert,Vert,Invert,Invert,y,Parasite,Endo,horizontal,trophic,resident,68,68,34,129,1.45,NA,89,89,100000,0.001,Parafit
Light_&_Hafner_2008,2008,Vert,Tetrapod,Invert,Invert,y,Parasite,Ecto,both,contact,resident,44,21,4,21,1,1,21,1,999,0.001,Parafit
Liu_et_al_2016,2016,Plant,Plant,Microbe,Fungus,y,Parasite,Endo,NA,environmental,resident,13,13,10,44,1.57,2.71,28,28,9999,0.0251,Parafit
Liu_et_al_2016,2016,Plant,Plant,Microbe,Fungus,y,Parasite,Endo,NA,environmental,resident,19,19,16,76,3.3,3.22,23,23,9999,0.0203,Parafit
Maneesakorn_et_al_2011,2011,Invert,Invert,Microbe,Bacterium,n,Mutualist,Endo,vertical,vertical,resident,12,12,1,12,1,1,12,1,999,0.001,Parafit
Martinez_et_al_2011,2011,Invert,Invert,Microbe,Protist,y,Parasite,Endo,horizontal,vector,resident,16,16,1,22,2.44,1.56,9,1,999,0.075,Parafit
Martinez_San_udo_&_Girolami_2009,2009,Invert,Invert,Microbe,Bacterium,n,Mutualist,Endo,vertical,vertical,resident,19,19,10,19,1.12,1.18,17,5,999,0.003,Parafit
Matthews_et_al_2018,2018,Vert,Tetrapod,Invert,Invert,y,Parasite,Ecto,both,contact,resident,12,12,6,33,1,0.58,33,1,99900,0.004,Parafit
Mattiucci_&_nascetti_2008,2008,Vert,Tetrapod,Invert,Invert,y,Parasite,Endo,horizontal,trophic,resident,7,7,15,12,1.33,1.78,9,1,100,0.05,Parafit
Mazzon_et_al_2010,2010,Invert,Invert,Microbe,Bacterium,n,Mutualist,Endo,vertical,vertical,resident,17,17,10,17,1.06,1.13,16,3,999,0.007,Parafit
McFrederick_&_Taylor_2013,2013,Invert,Invert,Invert,Invert,y,NA,Ecto,vertical,vertical,resident,7,7,3,7,1,1,7,1,"10,000",0.006,Parafit
McKee_et_al_2016,2016,Vert,Tetrapod,Microbe,Bacterium,n,Parasite,Endo,horizontal,vector,resident,66,66,42,184,1.06,1.09,173,1,10000,0.0001,Parafit
McLeish_&_Van_Noort_2012,2012,Plant,Plant,Invert,Invert,y,Mutualist,Endo,horizontal,autonomous,resident,26,26,1,65,1,1,65,6,9999,0.18,Parafit
Megia-palma_et_al_2018,2018,Vert,Reptile,Microbe,Protist,y,Parasite,Endo,horizontal,vector,resident,16,16,8,23,1.53,1.27,15,8,999,0.004,Parafit
Mehdiabadi_et_al_2012,2012,Invert,Invert,Microbe,Fungus,y,Mutualist,Ecto,both,environmental,resident,99,11,1,11,1,1,11,1,999,0.001,Parafit
Mendlova_et_al_2012,2012,Vert,Fish,Invert,Invert,y,Parasite,Ecto,horizontal,autonomous,resident,6,6,5,34,1.17,1.21,29,2,999,0.024,Parafit
Merville_et_al._2013,2013,Invert,Invert,Microbe,Bacterium,n,Mutualist,Endo,vertical,vertical,resident,9,9,1,9,1,1,9,1,999,0.0035,Parafit
Millanes_et_al_2014,2014,Microbe,Fungus,Microbe,Fungus,y,Parasite,Endo,both,environmental,resident,16,16,2,16,1,1,16,1,999,0.236,Parafit
Miyaki_et_al_2016,2016,Vert,Fish,Microbe,Bacterium,n,Mutualist,Endo,horizontal,environmental,resident,8,8,4,54,3.18,2.24,17,1,999,0.001,Parafit
Mondo_et_al_2012,2012,Microbe,Fungus,Microbe,Bacterium,n,Mutualist,Endo,vertical,vertical,resident,55,5,2,5,1,1,5,1,10000,0.0001,Parafit
Nouioui_et_al_2014,2014,Plant,Plant,Microbe,Bacterium,n,Mutualist,Endo,horizontal,vector,resident,9,9,1,20,1,1,20,1,9999,0.33,Parafit
Patra_et_al_2018,2018,Vert,Fish,Invert,Invert,y,Parasite,Endo,horizontal,environmental,resident,24,24,24,31,1,1,31,1,999,0.001,Parafit
Pellissier_et_al_2013,2013,Plant,Plant,Invert,Invert,y,Parasite,Ecto,horizontal,autonomous,visitor,104,104,NA,NA,NA,NA,97,NA,10000,0.0001,Parafit
Perkins_2010,2010,Vert,Fish,Invert,Invert,y,Parasite,Endo,horizontal,autonomous,resident,61,61,50,75,1,1,75,NA,9999,0.926,Parafit
Peterson_et_al_2010,2010,Plant,Plant,Microbe,Fungus,y,Parasite,Endo,horizontal,environmental,resident,11,11,1,25,2.08,1.58,12,1,9999,0.0001,Parafit
Polme_et_al_2014.pdf,2014,Plant,Plant,Microbe,Bacterium,n,Mutualist,Endo,horizontal,vector,resident,22,22,1,NA,NA,NA,43,1,999,0.001,Parafit
Quek_et_al_2004,2004,Plant,Plant,Invert,Invert,y,Mutualist,Ecto,horizontal,autonomous,resident,9,9,1,19,1.9,1.5,10,1,999,0.779,Parafit
Ramasindrazana_et_al_2017,2017,Vert,Tetrapod,Invert,Invert,y,Parasite,Ecto,both,contact,resident,15,15,6,26,2.89,1.78,9,5,999,0.001,Parafit
Ricklefs_et_al_2004,2004,Vert,Tetrapod,Microbe,Protist,y,Parasite,Endo,horizontal,vector,resident,44,44,1,121,1.86,NA,65,2,100,0.63,Parafit
Riess_et_al_2018,2018,Plant,Plant,Microbe,Fungus,Y,Parasite,Endo,horizontal,autonomous,resident,11,11,5,11,1,1,11,2,9999,0.264,Parafit
Savio_2011,2011,Invert,Invert,Microbe,Bacterium,n,Mutualist,Endo,horizontal,NA,resident,17,17,10,17,1,1,17,3,999,0.007,Parafit
Schardl_et_al_2008,2008,Plant,Plant,Microbe,Fungus,y,Mutualist,Endo,both,NA,resident,25,25,16,25,0.96,1,26,2,1000,0.001,Parafit
Sibbald_et_al_2017,2017,Microbe,Amoeba,Microbe,Protist,y,Mutualist,Endo,horizontal,environmental,resident,7,7,1,7,1,1,7,1,9999,0.0001,Parafit
Simkova_et_al_2013,2013,Vert,Fish,Invert,Invert,y,Parasite,Ecto,horizontal,autonomous,resident,5,5,1,21,1,1,21,1,999,0.013,Parafit
Singh_et_al_2016,2016,Microbe,Fungus,Plant,Plant,y,Mutualist,Endo,horizontal,environmental,resident,23,23,1,28,1.4,1.2,20,1,9999,0.0002,Parafit
Singh_et_al_2017,2017,Microbe,Fungus,Plant,Plant,y,Mutualist,Endo,vertical,vertical,resident,23,17,1,25,1.25,1.15,20,1,9999,0.0002,Parafit
Sontowski_et_al_2015,2015,Invert,Invert,Microbe,Bacterium,n,Mutualist,Endo,vertical,vertical,resident,14,14,4,14,1,1,14,1,100000,0.003,Parafit
Sorenson_et_al_2004,2004,Vert,Tetrapod,Vert,Tetrapod,y,Parasite,Ecto,horizontal,autonomous,resident,33,33,10,34,1.62,1.43,21,1,1000,0.001,Parafit
Souza_et_al_2018,2018,Vert,Tetrapod,Microbe,Virus,n,Parasite,Endo,both,body fluid,resident,8,8,8,19,1.06,1,18,1,999,0.005,Parafit
Stireman_et_al_2010,2010,Plant,Plant,Invert,Invert,y,Parasite,Endo,horizontal,autonomous,resident,15,15,10,39,1.39,1.25,28,1,9999,0.0008,Parafit
Sudakaran_et_al_2015,2015,Invert,Invert,Microbe,Bacterium,n,Mutualist,Endo,NA,NA,resident,16,16,7,22,1,1,22,1,1000,0.978,Parafit
Sudakaran_et_al_2015,2015,Invert,Invert,Microbe,Bacterium,n,Mutualist,Endo,NA,NA,resident,14,14,6,26,1,1,26,1,1000,0.974,Parafit
Summers_&_Rouse_2014,2014,Invert,Invert,Invert,Invert,y,Parasite,Endo/Ecto,horizontal,autonomous,resident,53,53,36,78,1.13,1.23,69,10,9999,0.0005,Parafit
Susoy_&_Herrmann_2014,2014,Invert,Invert,Invert,Invert,y,Mutualist,Ecto,vertical,vertical,resident,35,35,7,37,1.42,1.31,26,1,9999,0.0001,Parafit
Swafford_&_Bond_2010,2010,Invert,Invert,Invert,Invert,y,Parasite,Ecto,horizontal,contact,resident,7,7,1,7,1,1,7,1,9999,0.319,Parafit
Sweet_&_Johnson_2018,2018,Vert,Tetrapod,Invert,Invert,y,Parasite,Ecto,both,contact,resident,13,13,4,14,2.8,1.8,5,1,100000,0.005,Parafit
Sweet_et_al_2016,2016,Vert,Tetrapod,Invert,Invert,y,Parasite,Ecto,both,contact,resident,52,52,25,57,1.33,1.21,43,1,100000,0.00001,Parafit
Sweet_et_al_2016,2016,Vert,Tetrapod,Invert,Invert,y,Parasite,Ecto,both,contact,resident,52,52,25,58,1.18,1.14,49,4,100000,0.00001,Parafit
Sweet_et_al_2017,2017,Vert,Tetrapod,Invert,Invert,y,Parasite,Ecto,both,contact,resident,12,12,5,15,1.15,1.23,13,3,999,0.069,Parafit
Sweet_et_al_2018a,2018,Vert,Tetrapod,Invert,Invert,y,Parasite,Ecto,both,contact,resident,259,259,163,283,1.63,1.61,174,11,9999,0.0001,Parafit
Sweet_et_al_2018b,2018,Vert,Tetrapod,Invert,Invert,y,Parasite,Ecto,both,contact,resident,11,11,4,13,1.86,1.43,7,1,100000,0.005,Parafit
Tao_et_al_2013,2013,Vert,Tetrapod,Microbe,Virus,n,Parasite,Endo,horizontal,NA,resident,7,7,7,10,1,1,10,1,99999,0.17592,Parafit
Toju_et_al_2013,2013,Invert,Invert,Microbe,Bacterium,n,Mutualist,Endo,vertical,vertical,resident,27,27,4,27,1,1,27,1,99999,0.00001,Parafit
Urban_&_Cryan_2012,2012,Invert,Invert,Microbe,Bacterium,n,Mutualist,Endo,vertical,vertical,resident,30,30,29,30,1,1,30,1,1000,0.001,Parafit
Urban_&_Cryan_2012,2012,Invert,Invert,Microbe,Bacterium,n,Mutualist,Endo,vertical,vertical,resident,40,40,38,40,1,1,40,1,1000,0.003,Parafit
Viale_et_al_2015,2015,Invert,Invert,Microbe,Bacterium,n,Mutualist,Endo,vertical,vertical,resident,23,23,1,23,1,1,23,1,9999,0.001,Parafit
Won_et_al_2008,2008,Invert,Invert,Microbe,Bacterium,n,Mutualist,Endo,horizontal,contact,resident,15,15,5,15,1,1,15,1,100,0.37,Parafit
Xu_et_el_2017,2017,Invert,Invert,Microbe,Bacterium,n,Mutualist,Endo,vertical,vertical,resident,20,20,8,20,1,1,20,1,999,0.001,Parafit
Zhang_et_al_2017,2017,Invert,Invert,Microbe,Bacterium,n,Mutualist,Endo,vertical,vertical,resident,44,44,24,44,1,1,44,1,100000,0.00001,Parafit
Badets_et_al_2011,2011,Vert,Tetrapod,Invert,Invert,y,Parasite,Endo,horizontal,autonomous,resident,17,17,13,17,1,1,17,4,1000,0.01,TreeMap
Banks_et_al_2006,2006,Vert,Tetrapod,Invert,Invert,y,Parasite,Ecto,both,contact,resident,18,18,6,30,2,1.6,15,2,1000,0.01,TreeMap
Bochkov_et_al_2011,2011,Vert,Tetrapod,Invert,Invert,y,Parasite,Ecto,both,contact,resident,6,6,NA,9,1,1,9,6,100,0.01,TreeMap
Charleston_&_Perkins_2003,2003,Vert,Tetrapod,Microbe,Protist,y,Parasite,Endo,horizontal,vector,resident,9,9,1,9,1,1,9,1,100,0.03,TreeMap
Charleston_&_Robertson_2002,2002,Vert,Tetrapod,Microbe,Virus,n,Parasite,Endo,horizontal,body fluid,resident,12,12,12,12,1,1,12,1,1000,0.015,TreeMap
Chauvatcharin_et_al_2006,2006,Microbe,Bacterium,Microbe,Virus,n,Parasite,Endo,both,NA,resident,14,14,7,15,1.07,1,14,1,1000,0.331,TreeMap
Clark_et_al_2000,2000,Invert,Invert,Microbe,Bacterium,n,Mutualist,Endo,vertical,vertical,resident,17,17,4,17,1,1,17,1,1000,0.001,TreeMap
Clayton_&_Johnson_2003,2003,Vert,Tetrapod,Invert,Invert,y,Parasite,Ecto,both,contact,resident,13,13,6,14,1.08,1.15,13,1,10000,0.0006,TreeMap
Clayton_&_Johnson_2003,2003,Vert,Tetrapod,Invert,Invert,y,Parasite,Ecto,both,contact,resident,13,13,6,16,1.6,1.5,10,1,10000,0.153,TreeMap
Cui_et_al_2012,2012,Vert,Tetrapod,Microbe,Virus,n,Parasite,Endo,horizontal,body fluid,resident,7,7,3,7,1,1,7,7,10000,0.366,TreeMap
Dabert_2001__,2001,Vert,Tetrapod,Invert,Invert,y,Parasite,Ecto,both,contact,resident,21,21,12,22,1,1,22,9,10000,0.001,TreeMap
Deng_et_al_2013,2013,Invert,Invert,Invert,Invert,y,Parasite,Endo,horizontal,autonomous,resident,7,7,4,10,1,1,10,2,999,0.53,TreeMap
Desai_et_al_2010,2010,Microbe,Protist,Microbe,Bacterium,n,Mutualist,Ecto,both,contact,resident,9,9,2,8,0.89,1,9,1,1000,0.001,TreeMap
Desdevises_et_al_2002,2002,Vert,Fish,Invert,Invert,y,Parasite,Ecto,horizontal,autonomous,resident,14,14,11,39,1.95,1.65,20,2,999,0.317,TreeMap
Downie_&_Gullan_2005,2005,Invert,Invert,Microbe,Bacterium,n,Mutualist,Endo,vertical,vertical,resident,21,21,16,21,1,1,21,1,1000,0.001,TreeMap
Erpenbeck_et_al_2002,2002,Invert,Invert,Microbe,Bacterium,n,Mutualist,Endo,vertical,vertical,resident,6,6,5,6,1,1,6,1,10000,0.02,TreeMap
Etherington_et_al_2006,2006,Vert,Tetrapod,Microbe,Virus,n,Parasite,Endo,horizontal,contact,resident,7,7,7,8,1,1,8,1,1000,0.01,TreeMap
